request_id,sp_id,channel,platform,app_version,required_docs,required_count,status_code,previous_status,status_ts,step_latency_ms,missing_count,error_code,error_source,status_history
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S00,,2025-11-23 04:09:00,0,0,,,"[""S00""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S01,S00,2025-11-23 04:09:03,3000,0,,,"[""S00"", ""S01""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S02,S01,2025-11-23 04:09:07,4000,0,,,"[""S00"", ""S01"", ""S02""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S03,S02,2025-11-23 04:09:12,5000,0,,,"[""S00"", ""S01"", ""S02"", ""S03""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S08,S03,2025-11-23 04:09:19,7000,0,,,"[""S00"", ""S01"", ""S02"", ""S03"", ""S08""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S10,S08,2025-11-23 04:09:21,2000,0,,,"[""S00"", ""S01"", ""S02"", ""S03"", ""S08"", ""S10""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S20,S10,2025-11-23 04:09:39,18000,0,,,"[""S00"", ""S01"", ""S02"", ""S03"", ""S08"", ""S10"", ""S20""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S21,S20,2025-11-23 04:09:47,8000,0,,,"[""S00"", ""S01"", ""S02"", ""S03"", ""S08"", ""S10"", ""S20"", ""S21""]"
REQ000001,GIG,notification,ios,6.1.3,"[""Emirates ID Card"", ""Vehicle Registration""]",2,S43,S21,2025-11-23 04:10:12,25000,0,,,"[""S00"", ""S01"", ""S02"", ""S03"", ""S08"", ""S10"", ""S20"", ""S21"", ""S43""]"
REQ000002,Beyon Money,notification,ios,5.10.1,"[""Emirates ID Card"", ""Residence Visa""]",2,S00,,2025-11-25 05:24:00,0,0,,,"[""S00""]"
REQ000002,Beyon Money,notification,ios,5.10.1,"[""Emirates ID Card"", ""Residence Visa""]",2,S01,S00,2025-11-25 05:24:03,3000,0,,,"[""S00"", ""S01""]"
