CREATED_AT, VIZ_TYPE, ALIAS_NAME, UAEPASS_AUTHENTICATION, ORIGIN, USER_AGENT, REQUIRED_DOC_NAMES, NOTIFICATION_STATE, MANDATORY_DOCS_AVAILABLE, MANDATORY_DOCS_FULFILLED, FIRST_READ_MANDATORY_DOCS_AVAILABLE, FIRST_READ_MANDATORY_DOCS_FULFILLED,CREDENTIAL_REQUEST,CREDENTIAL_STATUS, CONSENT_GIVEN, PIN_GIVEN, STATUS, ERROR_CATEGORIZATION, FAILURE_REASON, DOC_AVAILIBILITY, COUNT, NOTIFIED_SUCCESSFULLY,APP_RELEASE
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Passport",Read,No,No,No,No,No,,No,No,No Action Taken,,,Required Docs Not Available,6,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Passport",Read,Yes,Yes,Yes,Yes,No,,Yes,Yes,Shared,,,Required Docs Available,1,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Passport",Rejected,No,No,No,No,No,,No,No,User Rejected,,,Required Docs Not Available,1,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Passport",Rejected,Yes,Yes,No,No,No,,Yes,Yes,User Rejected,,,Required Docs Available,1,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Residence Visa",Read,No,No,No,No,No,,No,No,No Action Taken,,,Required Docs Not Available,3,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Residence Visa",Read,Yes,Yes,No,No,Yes,Success,Yes,Yes,Shared,,,Required Docs Available,1,NA,6.2.1
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Residence Visa",Read,Yes,Yes,No,No,Yes,Success,Yes,Yes,Shared,,,Required Docs Available,4,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Residence Visa",Read,Yes,Yes,Yes,Yes,No,,Yes,No,Failed,Failed before PIN page,ISSUER_DOCUMENT_RETRIVAL_FAILURE,Required Docs Available,2,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Residence Visa",Read,Yes,Yes,Yes,Yes,No,,Yes,Yes,Shared,,,Required Docs Available,8,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,Android,"Emirates ID Card, Residence Visa",Rejected,No,No,No,No,No,,No,No,User Rejected,,,Required Docs Not Available,2,NA,6.4.0
12-Nov-25,Pull,Arab Bank,DV Only,MOBILE,IOS,"Emirates ID Card, Residence Visa",Read,Yes,Yes,No,No,Yes,Success,Yes,Yes,Shared,,,Required Docs Available,1,NA,6.4.0
