LOADER_CASE,total,slow_10k,slow_5_10k,slow_pct,slow_5pct,slow_5plus_pct,dv_flow
DOCUMENT_SELECTION_UPLOADED_LIST,335,114,5,34.02985074626866,1.4925373134328357,35.52238805970149,Uploaded-doc selection during sharing
DOCUMENT_SELECTION_ISSUED_LIST,4781,1264,128,26.43798368542146,2.677264170675591,29.11524785609705,Document selection during sharing flow
ISSUED_DOCUMENT_EVIDENCE,2338487,477142,387711,20.403876523581275,16.57956618959182,36.98344271317309,eSeal / evidence fetch for issued doc
SHARE_DOCUMENT,19871,3131,1532,15.756630265210608,7.709727743948467,23.466358009159077,Consent + verifiable-presentation POST
DOWNLOAD_SELF_SIGN_DOCUMENT,9980,1402,450,14.04809619238477,4.509018036072145,18.557114228456914,Self-signed document download
ACTIONABLE_NOTIFICATION_DETAILS,3034219,415378,609570,13.68978310398821,20.089848491489903,33.77963159547811,Sharing-request notification tap
ISSUED_DOCUMENT_DETAILS,3148702,392352,97655,12.460753669289758,3.1014367190035768,15.562190388293335,Document detail screen — issued doc
DOWNLOAD_DOCUMENT,23294,2469,1688,10.599295956040182,7.246501244955783,17.845797200995964,Document download (PDF/render)
QR_VERIFICATION,277315,18901,6720,6.81571498115861,2.4232371130303085,9.238952094188917,QR-based SSO / sharing-request scan
UPLOADED_DOCUMENT_EVIDENCE,50884,2239,2259,4.400204386447607,4.439509472525745,8.83971385897335,Evidence fetch for user-uploaded doc
ISSUERS_LIST,2230746,81801,83447,3.666979566476865,3.7407665417757108,7.407746108252576,Issuers catalogue screen
DOCUMENTS_LIST,8842575,243152,372853,2.74978725088563,4.2165658758902245,6.966353126775854,Document Vault (home) — all docs fetch
NOTIFICATIONS_LIST,4920192,62698,56289,1.2742998647207264,1.1440407203621323,2.4183405850828588,Notifications list screen
NON_ACTIONABLE_NOTIFICATION_DETAILS,3237972,12620,13932,0.38975012754897204,0.4302693167204658,0.8200194442694378,Info notification detail
