LOADER_CASE,DEVICE,total,slow_10k,slow_pct
ACTIONABLE_NOTIFICATION_DETAILS,ANDROID,899738,195117,21.685979696311595
ACTIONABLE_NOTIFICATION_DETAILS,IOS,1008038,220261,21.85046595465647
ACTIONABLE_NOTIFICATION_DETAILS,Other/Backend,1126443,0,0.0
DOCUMENTS_LIST,ANDROID,5706728,203818,3.5715387171072464
DOCUMENTS_LIST,IOS,3135847,39334,1.2543341559712575
DOCUMENT_SELECTION_ISSUED_LIST,ANDROID,1702,501,29.435957696827263
DOCUMENT_SELECTION_ISSUED_LIST,IOS,3079,763,24.78077297823969
DOCUMENT_SELECTION_UPLOADED_LIST,ANDROID,167,66,39.52095808383233
DOCUMENT_SELECTION_UPLOADED_LIST,IOS,168,48,28.57142857142857
DOWNLOAD_DOCUMENT,ANDROID,14204,1423,10.018304702900592
DOWNLOAD_DOCUMENT,IOS,8813,1046,11.868830137297175
DOWNLOAD_DOCUMENT,Other/Backend,277,0,0.0
DOWNLOAD_SELF_SIGN_DOCUMENT,ANDROID,4455,715,16.049382716049383
DOWNLOAD_SELF_SIGN_DOCUMENT,IOS,5525,687,12.434389140271493
ISSUED_DOCUMENT_DETAILS,ANDROID,1975992,308920,15.633666533062888
ISSUED_DOCUMENT_DETAILS,IOS,872624,83432,9.561048057353453
ISSUED_DOCUMENT_DETAILS,Other/Backend,300086,0,0.0
ISSUED_DOCUMENT_EVIDENCE,ANDROID,1507948,385634,25.573428261451987
ISSUED_DOCUMENT_EVIDENCE,IOS,789956,91508,11.583936320503927
ISSUED_DOCUMENT_EVIDENCE,Other/Backend,40583,0,0.0
ISSUERS_LIST,ANDROID,1438912,74455,5.174395654494507
ISSUERS_LIST,IOS,791834,7346,0.927719698825764
NON_ACTIONABLE_NOTIFICATION_DETAILS,ANDROID,2218405,8688,0.39163272711700525
NON_ACTIONABLE_NOTIFICATION_DETAILS,IOS,1019567,3932,0.38565390994412335
NOTIFICATIONS_LIST,ANDROID,2880374,48397,1.680233191939658
NOTIFICATIONS_LIST,IOS,2039818,14301,0.7010919601650736
QR_VERIFICATION,ANDROID,170253,12372,7.266832302514493
QR_VERIFICATION,IOS,99812,6529,6.5412976395623765
QR_VERIFICATION,Other/Backend,7250,0,0.0
SHARE_DOCUMENT,ANDROID,9501,1475,15.524681612461846
SHARE_DOCUMENT,IOS,10253,1656,16.151370330634936
SHARE_DOCUMENT,Other/Backend,117,0,0.0
UPLOADED_DOCUMENT_EVIDENCE,ANDROID,25637,1007,3.9279166829192182
UPLOADED_DOCUMENT_EVIDENCE,IOS,25247,1232,4.879787697548223
