LOADER_CASE,DURATION_RANGE,count,DUR_CAT
ACTIONABLE_NOTIFICATION_DETAILS,< 0 ms,3192,< 0 ms
ACTIONABLE_NOTIFICATION_DETAILS,= 0 ms,1314515,= 0 ms
ACTIONABLE_NOTIFICATION_DETAILS,1-50 ms,224,1-50 ms
ACTIONABLE_NOTIFICATION_DETAILS,51-100 ms,253,51-100 ms
ACTIONABLE_NOTIFICATION_DETAILS,101-500 ms,1371,101-500 ms
ACTIONABLE_NOTIFICATION_DETAILS,501-1000 ms,30882,501-1000 ms
ACTIONABLE_NOTIFICATION_DETAILS,1001-5000 ms,658834,1001-5000 ms
ACTIONABLE_NOTIFICATION_DETAILS,5001-10000 ms,609570,5001-10000 ms
ACTIONABLE_NOTIFICATION_DETAILS,10000+ ms,415378,10000+ ms
DOCUMENTS_LIST,< 0 ms,4764,< 0 ms
DOCUMENTS_LIST,= 0 ms,1625826,= 0 ms
DOCUMENTS_LIST,1-50 ms,1,1-50 ms
DOCUMENTS_LIST,51-100 ms,48,51-100 ms
DOCUMENTS_LIST,101-500 ms,2091,101-500 ms
DOCUMENTS_LIST,501-1000 ms,1453192,501-1000 ms
DOCUMENTS_LIST,1001-5000 ms,5140648,1001-5000 ms
DOCUMENTS_LIST,5001-10000 ms,372853,5001-10000 ms
DOCUMENTS_LIST,10000+ ms,243152,10000+ ms
DOCUMENT_SELECTION_ISSUED_LIST,= 0 ms,261,= 0 ms
DOCUMENT_SELECTION_ISSUED_LIST,101-500 ms,142,101-500 ms
DOCUMENT_SELECTION_ISSUED_LIST,501-1000 ms,1790,501-1000 ms
DOCUMENT_SELECTION_ISSUED_LIST,1001-5000 ms,1196,1001-5000 ms
DOCUMENT_SELECTION_ISSUED_LIST,5001-10000 ms,128,5001-10000 ms
DOCUMENT_SELECTION_ISSUED_LIST,10000+ ms,1264,10000+ ms
DOCUMENT_SELECTION_UPLOADED_LIST,= 0 ms,83,= 0 ms
DOCUMENT_SELECTION_UPLOADED_LIST,51-100 ms,12,51-100 ms
DOCUMENT_SELECTION_UPLOADED_LIST,101-500 ms,77,101-500 ms
DOCUMENT_SELECTION_UPLOADED_LIST,501-1000 ms,38,501-1000 ms
DOCUMENT_SELECTION_UPLOADED_LIST,1001-5000 ms,6,1001-5000 ms
DOCUMENT_SELECTION_UPLOADED_LIST,5001-10000 ms,5,5001-10000 ms
DOCUMENT_SELECTION_UPLOADED_LIST,10000+ ms,114,10000+ ms
DOWNLOAD_DOCUMENT,= 0 ms,687,= 0 ms
DOWNLOAD_DOCUMENT,101-500 ms,101,101-500 ms
DOWNLOAD_DOCUMENT,501-1000 ms,3662,501-1000 ms
DOWNLOAD_DOCUMENT,1001-5000 ms,14687,1001-5000 ms
DOWNLOAD_DOCUMENT,5001-10000 ms,1688,5001-10000 ms
DOWNLOAD_DOCUMENT,10000+ ms,2469,10000+ ms
DOWNLOAD_SELF_SIGN_DOCUMENT,= 0 ms,1713,= 0 ms
DOWNLOAD_SELF_SIGN_DOCUMENT,101-500 ms,1167,101-500 ms
DOWNLOAD_SELF_SIGN_DOCUMENT,501-1000 ms,3389,501-1000 ms
DOWNLOAD_SELF_SIGN_DOCUMENT,1001-5000 ms,1859,1001-5000 ms
DOWNLOAD_SELF_SIGN_DOCUMENT,5001-10000 ms,450,5001-10000 ms
DOWNLOAD_SELF_SIGN_DOCUMENT,10000+ ms,1402,10000+ ms
ISSUED_DOCUMENT_DETAILS,< 0 ms,69,< 0 ms
ISSUED_DOCUMENT_DETAILS,= 0 ms,586099,= 0 ms
ISSUED_DOCUMENT_DETAILS,51-100 ms,38,51-100 ms
ISSUED_DOCUMENT_DETAILS,101-500 ms,132277,101-500 ms
ISSUED_DOCUMENT_DETAILS,501-1000 ms,1158348,501-1000 ms
ISSUED_DOCUMENT_DETAILS,1001-5000 ms,781864,1001-5000 ms
ISSUED_DOCUMENT_DETAILS,5001-10000 ms,97655,5001-10000 ms
ISSUED_DOCUMENT_DETAILS,10000+ ms,392352,10000+ ms
ISSUED_DOCUMENT_EVIDENCE,< 0 ms,499,< 0 ms
ISSUED_DOCUMENT_EVIDENCE,= 0 ms,472361,= 0 ms
ISSUED_DOCUMENT_EVIDENCE,51-100 ms,37,51-100 ms
ISSUED_DOCUMENT_EVIDENCE,101-500 ms,6255,101-500 ms
ISSUED_DOCUMENT_EVIDENCE,501-1000 ms,73145,501-1000 ms
ISSUED_DOCUMENT_EVIDENCE,1001-5000 ms,921337,1001-5000 ms
ISSUED_DOCUMENT_EVIDENCE,5001-10000 ms,387711,5001-10000 ms
ISSUED_DOCUMENT_EVIDENCE,10000+ ms,477142,10000+ ms
ISSUERS_LIST,< 0 ms,317,< 0 ms
ISSUERS_LIST,= 0 ms,174704,= 0 ms
ISSUERS_LIST,51-100 ms,24,51-100 ms
ISSUERS_LIST,101-500 ms,823,101-500 ms
ISSUERS_LIST,501-1000 ms,45348,501-1000 ms
ISSUERS_LIST,1001-5000 ms,1844282,1001-5000 ms
ISSUERS_LIST,5001-10000 ms,83447,5001-10000 ms
ISSUERS_LIST,10000+ ms,81801,10000+ ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,< 0 ms,37,< 0 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,= 0 ms,692339,= 0 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,1-50 ms,2,1-50 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,51-100 ms,2443,51-100 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,101-500 ms,1702202,101-500 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,501-1000 ms,608051,501-1000 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,1001-5000 ms,206346,1001-5000 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,5001-10000 ms,13932,5001-10000 ms
NON_ACTIONABLE_NOTIFICATION_DETAILS,10000+ ms,12620,10000+ ms
NOTIFICATIONS_LIST,< 0 ms,4,< 0 ms
NOTIFICATIONS_LIST,= 0 ms,1392894,= 0 ms
NOTIFICATIONS_LIST,1-50 ms,184,1-50 ms
NOTIFICATIONS_LIST,51-100 ms,71060,51-100 ms
NOTIFICATIONS_LIST,101-500 ms,1895988,101-500 ms
NOTIFICATIONS_LIST,501-1000 ms,934014,501-1000 ms
NOTIFICATIONS_LIST,1001-5000 ms,507061,1001-5000 ms
NOTIFICATIONS_LIST,5001-10000 ms,56289,5001-10000 ms
NOTIFICATIONS_LIST,10000+ ms,62698,10000+ ms
QR_VERIFICATION,< 0 ms,5,< 0 ms
QR_VERIFICATION,= 0 ms,26902,= 0 ms
QR_VERIFICATION,51-100 ms,5,51-100 ms
QR_VERIFICATION,101-500 ms,15483,101-500 ms
QR_VERIFICATION,501-1000 ms,138941,501-1000 ms
QR_VERIFICATION,1001-5000 ms,70358,1001-5000 ms
QR_VERIFICATION,5001-10000 ms,6720,5001-10000 ms
QR_VERIFICATION,10000+ ms,18901,10000+ ms
SHARE_DOCUMENT,< 0 ms,2,< 0 ms
SHARE_DOCUMENT,= 0 ms,474,= 0 ms
SHARE_DOCUMENT,101-500 ms,63,101-500 ms
SHARE_DOCUMENT,501-1000 ms,3529,501-1000 ms
SHARE_DOCUMENT,1001-5000 ms,11140,1001-5000 ms
SHARE_DOCUMENT,5001-10000 ms,1532,5001-10000 ms
SHARE_DOCUMENT,10000+ ms,3131,10000+ ms
UPLOADED_DOCUMENT_EVIDENCE,= 0 ms,4059,= 0 ms
UPLOADED_DOCUMENT_EVIDENCE,101-500 ms,6252,101-500 ms
UPLOADED_DOCUMENT_EVIDENCE,501-1000 ms,20343,501-1000 ms
UPLOADED_DOCUMENT_EVIDENCE,1001-5000 ms,15732,1001-5000 ms
UPLOADED_DOCUMENT_EVIDENCE,5001-10000 ms,2259,5001-10000 ms
UPLOADED_DOCUMENT_EVIDENCE,10000+ ms,2239,10000+ ms
