"List of Live Documents from Issuer for Both Integration Types (POI and POE)","","","","",""
"No","Entity Type","Entity name","Document Name","Integration Type","Claim"
"1","Federal","Federal Authority for Identity, Citizenship, Customs & Port security ","Passport","POI",""
"2","Federal","Federal Authority for Identity, Citizenship, Customs & Port security ","Emirates ID Card","POI",""
"3","Federal","Federal Authority for Identity, Citizenship, Customs & Port security ","Residence Visa          ","POI",""
"4","Federal","General Civil Aviation Authority","Unmanned Aircraft Registration Certificate","POI","To be decommisioned"
"5","Federal","Telecommunications And Digital Government Regulatory Authority","Amateur Radio Authorization","POI & POE",""
"6","Federal","Ministry of Education","Secondary School Certificate","POI",""
"7","Federal","Ministry of Education","The Emirates Standardized Test             ","POI",""
"8","Federal","Ministry of Education","Academic Qualification Equivalency             ","POI & POE",""
"9","Federal","Ministry of Education","Academic Qualification Attestation             ","POI",""
"10","Federal","Ministry of Health and Prevention","Covid Vaccination Card             ","POI",""
"11","Federal","Ministry of Health and Prevention","Medical Practitioner License","POI",""
"12","Federal","Ministry of Interior","Driving License             ","POI",""
"13","Federal","Ministry of Interior","Police Clearance Certificate             ","POI",""
"14","Federal","Ministry of Interior","Vehicle License             ","POI",""
"15","Federal","Ministry of Justice","Marriage Certificate            ","POI & POE",""
"16","Federal","Ministry of Justice","Power of Attorney           ","POI & POE",""
"17","Federal","Ministry of Justice","Divorce Certificate","POI",""
"18","Federal","Ministry of Justice","Confession","POI",""
"19","Federal","Ministry of Justice","Contract","POI",""
"20","Federal","Ministry of Community Empowerment","People of Determination Card             ","POI",""
"21","Federal","Ministry of Community Empowerment","Productive Families Membership Card","POI",""
"22","Federal","Ministry of Community Empowerment","Social Aid Card            ","POI",""
"23","Local","Dubai Land Department","Tenancy Contract","POI",""
"24","Local","Dubai Land Department","Title Deed","POI",""
"25","Local","Dubai Land Department","Initial Contract of Sale","POI",""
"26","Federal","Ministry of Human Resources & Emiratisation","Labor Card","POI",""
"27","Federal","Ministry of Human Resources & Emiratisation","Labor Contract","POI",""
"28","Local","Abu Dhabi Judicial Department","Marriage Certificate            ","POI",""
"29","Local","Abu Dhabi Judicial Department","Power of Attorney           ","POI",""
"30","Local","Ras Al Khaimah Courts","Marriage Certificate            ","POI",""
"31","Local","Ras Al Khaimah Courts","Divorce Certificate","POI",""
"32","Local","Department of Land & Real Estate Regulation in Ajman","Title Deed","POI & POE",""
"33","Local","Department of Land & Real Estate Regulation in Ajman","Ownership Certificate of a Real Estate Unit","POI & POE",""
"34","Local","Department of Land & Real Estate Regulation in Ajman","Initial Registration Certificate of Real Estate Unit","POI & POE",""
"35","Local","Department of Land & Real Estate Regulation in Ajman","Certificate of Authorized Real Estate Office","POI & POE",""
"36","Local","Department of Land & Real Estate Regulation in Ajman","Certificate of Real Estate Unit Valuation","POE","NA"
"37","Local","Department of Land & Real Estate Regulation in Ajman","Certificate of Property Valuation ","POE","NA"
"38","Local","Department of Land & Real Estate Regulation in Ajman","Real estate activity practice card","POE","NA"
"39","Local","Department of Land & Real Estate Regulation in Ajman","To Whom It May Concern Certificate","POE","NA"
"40","Federal","Ministry of energy and Infrastructure","Pleasure Boat License","POI",""
"41","Federal","Ministry of energy and Infrastructure","Small Boat Driving License","POI",""
"42","Local","Sharjah Real Estate Registration Department","Title Deed","POI",""
"43","Local","Sharjah Real Estate Registration Department","Joint Usufruct Title deed","POI",""
"44","Local","Sharjah Real Estate Registration Department","Shared Title Deed","POI",""
"45","Local","Sharjah Real Estate Registration Department","Usufruct Title Deed","POI",""
"46","Federal","United Arab Emirates University","Academic Attestation","POI",""
"47","Federal","United Arab Emirates University","Academic Transcript","POI",""
"48","Federal","United Arab Emirates University","Graduation Certificate","POI",""
"49","Federal"," Higher Colleges of Technology","Graduation Certificate","POI",""
"50","Federal"," Higher Colleges of Technology","Academic Transcript","POI",""
"51","Federal","Federal Tax Authority","Tax Residence Certificate For Domestic Tax Purposes - Natural Person","POI",""
"52","Federal","Zayed University","Academic Transcript","POI",""
"53","Federal","Zayed University","Academic Attestation","POI",""
"54","Federal","Zayed University","Graduation Certificate","POI",""
"55","Federal","Ministry of Climate Change and Environment ","CITES Import Certificate ","POE","NA"
"56","Local","Fujiarah Municipality","Tenancy Contract","POI",""
"57","Federal","Federal Authority for Government Human Resources","Employee Work Contract","POI",""
"58","Federal","Ministry of Higher Education and Scientific Research","Recognition Of Qualification Issued Outside UAE","POI & POE",""
"59","Federal","Ministry of Higher Education and Scientific Research","Recognition Of Qualification Issued Inside UAE ","POI",""
"60","Local","Department of Economic Development in Umm AL Quwain","Trade License","POI",""
"61","Local","Abu Dhabi Registration Authority","Trade License","POI",""
"62","Local","Abu Dhabi Registration Authority","Commerical Registration License","POI",""
"63","Local","Fujiarah Municipality","Trade License","POI",""
"64","Federal","General Civil Aviation Authority","Aircraft Maintenance Engineers License","POE","NA"
"65","Federal","General Civil Aviation Authority","Air Traffic Controller License","POE","NA"
"66","Federal","General Civil Aviation Authority","Pilot License","POE","NA"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
