Etisalat Retail,11/09/2022,Telecommunications,1324,591,6598,112,271,-,8896,
2,Al Maryah,24/08/2021,Banking And Finance,1454,69,5356,178,326,-,7383
3,DU,05/10/2022,Telecommunications,1030,389,2877,148,161,-,4605
4,Botim,02/07/2024,Banking And Finance,966,356,2790,78,181,-,4371
5,ADIB,27/09/2023,Banking And Finance,1137,94,2471,54,241,-,3997
6,Etisalat Business,13/01/2023,Telecommunications,266,351,3052,53,43,-,3765
7,ruya,26/04/2024,Banking And Finance,229,578,801,42,75,-,1725
8,Commercial Bank of Dubai - Mobile - Product Onboarding,27/08/2025,Banking And Finance,71,-,729,28,24,22,874
9,Virgin Mobile,04/03/2024,Telecommunications,94,19,577,116,22,-,828
10,Commercial Bank of Dubai - Mobile,21/07/2025,Banking And Finance,205,14,528,10,58,-,815
11,Lulu,12/03/2022,Banking And Finance,142,-,549,22,48,43,804
12,FAB Retail Banking - Mobile App,02/10/2023,Banking And Finance,163,-,496,14,75,44,792
13,DU IGNITE,04/03/2025,Telecommunications,158,19,525,20,32,-,754
14,Ziina,03/11/2025,Banking And Finance,141,9,169,398,5,-,722
15,Etisalat Direct Sales,29/04/2025,Telecommunications,19,1,643,6,4,-,673
16,Etisalat- SAS,11/06/2025,Banking And Finance,28,-,581,11,4,-,624
17,AAE,29/04/2020,Banking And Finance,117,69,295,23,35,-,539
18,Al Hilal,02/02/2022,Banking And Finance,72,-,294,5,18,60,449
19,ADCB,21/09/2022,Banking And Finance,19,6,351,9,4,-,389
20,ENBD Tablet Banking,13/08/2023,Banking And Finance,54,-,228,7,5,-,294
21,eToro (ME) Limited,23/04/2025,Banking And Finance,29,-,222,2,9,9,271
22,Du Esim,17/04/2024,Telecommunications,15,32,183,12,3,-,245
23,Ajman Bank PJSC,30/08/2024,Banking And Finance,15,-,204,8,7,-,234
24,Etisalat FIVE APP,27/08/2025,Telecommunications,45,7,158,1,8,-,219
25,FAB NHL PROFILE,12/12/2024,Banking And Finance,29,1,148,-,20,-,198
26,FAB Retail Banking - Portal,26/02/2026,Banking And Finance,23,18,134,4,1,-,180
27,Emirates Islamic,04/03/2024,Banking And Finance,17,-,148,-,2,-,167
28,GCC Exchange,08/06/2023,Banking And Finance,53,2,71,2,16,-,144
29,ADNIC Motor,30/04/2024,Insurance,71,-,30,-,13,16,130
30,National Bonds Corporation Sole Proprietorship P.S.C.,25/02/2025,Banking And Finance,12,1,97,-,6,-,116
31,ADNIC,11/06/2023,Insurance,49,23,22,3,6,-,103
32,Baraka,10/10/2022,Banking And Finance,13,12,67,-,7,-,99
33,Sarwa Digital Wealth \u0028Capital\u0029 Limited,22/09/2025,Banking And Finance,18,4,70,1,5,-,98
34,Al Ramz,14/03/2024,Banking And Finance,11,1,69,8,3,-,92
35,Almaryah Mwallet UAE,04/03/2025,Banking And Finance,10,7,60,2,2,-,81
36,Whizmo,11/10/2024,Banking And Finance,26,3,45,1,2,-,77
37,du ent,05/02/2025,Telecommunications,16,12,41,-,-,-,69
38,Hubpay Limited,08/05/2024,Banking And Finance,8,-,61,-,-,-,69
39,Sukoon Insurance PJSC,17/05/2025,Insurance,26,-,28,1,7,7,69
40,Ajman Bank PJSC - KYC,23/10/2024,Banking And Finance,9,-,42,-,5,-,56
41,xCube,04/09/2023,Banking And Finance,9,-,43,-,3,-,55
42,National Bank of Fujairah,10/10/2025,Banking And Finance,13,2,30,4,2,-,51
43,CBD Assisted,13/01/2025,Banking And Finance,4,-,42,3,-,-,49
44,Arab Bank,09/12/2021,Banking And Finance,4,-,34,-,1,2,41
45,Joyalukkas,27/10/2021,Banking And Finance,5,-,24,1,4,1,35
46,ADSS,14/01/2023,Banking And Finance,9,-,18,1,2,4,34
47,investnation,14/04/2025,Banking And Finance,6,1,10,-,4,-,21
48,Emirates Islamic Home Loan,16/10/2024,Banking And Finance,1,-,15,-,-,-,16
49,Wio Bank,02/11/2023,Banking And Finance,1,1,13,-,-,-,15
50,GIG,12/06/2023,Insurance,7,-,5,1,-,2,15
51,Moov,04/07/2023,Transport,6,-,1,-,1,-,8
52,PAY TEN PAYMENT SERVICES PROVIDER L.L.C,16/02/2026,Banking And Finance,2,-,-,2,-,-,4
53,CHANGER.AE,26/11/2025,Banking And Finance,-,2,1,-,-,-,3
54,eSanad,04/04/2024,Insurance,1,-,-,-,-,-,1
