CREATEDAT,LOADER_CASE,DEVICE_INFO,APP_VERSION,DURATION_RANGE,RECORD_COUNT
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.2,10000+ ms,7793
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.5.1,10000+ ms,181
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.0,10000+ ms,3330
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.2,10000+ ms,7474
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.0,10000+ ms,3467
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.1,10000+ ms,375
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.1,10000+ ms,371
2026-04-22,DOCUMENTS_LIST,ANDROID,6.5.1,10000+ ms,85
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.1,10000+ ms,237
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.5.1,10000+ ms,163
2026-04-22,DOCUMENTS_LIST,ANDROID,6.5.0,10000+ ms,31
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.0,10000+ ms,1912
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.2,10000+ ms,3822
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.5.0,10000+ ms,75
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.5.0,10000+ ms,59
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.0,1001-5000 ms,34104
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.2,1001-5000 ms,79074
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.5.0,1001-5000 ms,99
2026-04-22,DOCUMENTS_LIST,ANDROID,6.5.1,1001-5000 ms,1328
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.1,1001-5000 ms,3791
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.5.1,1001-5000 ms,185
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.2,1001-5000 ms,7989
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.0,1001-5000 ms,3312
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.0,1001-5000 ms,4377
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.1,1001-5000 ms,459
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.5.1,1001-5000 ms,141
2026-04-22,DOCUMENTS_LIST,ANDROID,6.5.0,1001-5000 ms,580
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.1,1001-5000 ms,405
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.2,1001-5000 ms,9101
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.5.0,1001-5000 ms,63
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.1,101-500 ms,1
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.1,101-500 ms,6
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.2,101-500 ms,46
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.5.0,101-500 ms,10
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.2,101-500 ms,1008
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.0,101-500 ms,411
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.6.1,101-500 ms,51
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.2,101-500 ms,18
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.0,101-500 ms,18
2026-04-22,ISSUED_DOCUMENT_DETAILS,ANDROID,6.5.1,101-500 ms,12
2026-04-22,DOCUMENTS_LIST,ANDROID,6.6.0,101-500 ms,4
2026-04-22,ISSUED_DOCUMENT_EVIDENCE,ANDROID,6.6.0,5001-10000 ms,1923
